ingredient_id,ingredient_name,recipe_item_id,recipe_id,recipe_name,recipe_link,note
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTozMzIwMTQx,cmVjaXBlOjQ5NjMxOQ==,Raspberry & Cacao Nibs,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5NjMxOQ==,Sparse recipe
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToyMjQ3MzQx,cmVjaXBlOjE2OTE0Mg==,Cacao Nib & Pepita Topping,https://app.galleysolutions.com/recipes/cmVjaXBlOjE2OTE0Mg==,Sparse recipe
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTozMjg1ODU5,cmVjaXBlOjQ5MDk2MA==,Caramel Muesli Bar BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MDk2MA==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToxODU1MjY2,cmVjaXBlOjI4ODIyNQ==,Grasshopper Mousse Cup,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4ODIyNQ==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTo0NDY3MTkx,cmVjaXBlOjU5MTMwMA==,Chocolate Orange Mousse Cup,https://app.galleysolutions.com/recipes/cmVjaXBlOjU5MTMwMA==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbTo0MTcxODU4,cmVjaXBlOjU5OTgzNw==,Chocolate Passion Fruit Mousse,https://app.galleysolutions.com/recipes/cmVjaXBlOjU5OTgzNw==,Top level usage
aW5ncmVkaWVudDoyOTgxMDY=,"cacoa nibs, roasted",cmVjaXBlSXRlbToxNjI4NDA4,cmVjaXBlOjE4MTYyOQ==,Reishi-Chocolate Chunk Cookie Dough BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MTYyOQ==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToxODMzMTkz,cmVjaXBlOjI4NTI0Nw==,French Onion Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4NTI0Nw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyODkyNjcx,cmVjaXBlOjQ0MDUzNg==,Smoky Pumpkin Queso Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MDUzNg==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyNzQ2NDQx,cmVjaXBlOjM4MzI4Mw==,Texas Caviar and Queso Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjM4MzI4Mw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbToyOTE3MjQz,cmVjaXBlOjQ0MzM1NA==,Layered Pumpkin Pinto Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MzM1NA==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbTozNDgxNDA1,cmVjaXBlOjUxMDkxNw==,Jalapeno Popper Dip with Crudités,https://app.galleysolutions.com/recipes/cmVjaXBlOjUxMDkxNw==,Top level usage
aW5ncmVkaWVudDozMTg4MDU=,"chips, potato, sea salt",cmVjaXBlSXRlbTozOTQ2OTgz,cmVjaXBlOjU2OTM0MQ==,Smashed Sonoma Chickpea Snack Plate w/Chips,https://app.galleysolutions.com/recipes/cmVjaXBlOjU2OTM0MQ==,Top level usage
aW5ncmVkaWVudDoyNzAyMTQ=,"chips, puffed kelp sea salt",cmVjaXBlSXRlbToxNjI2NzY3,cmVjaXBlOjI1Mzg0Nw==,Pacific Hummus with Puffed Kelp Chips,https://app.galleysolutions.com/recipes/cmVjaXBlOjI1Mzg0Nw==,Top level usage
aW5ncmVkaWVudDoyNDQzOTY=,"dried fruit, apricot",cmVjaXBlSXRlbTozMjgyNTQ5,cmVjaXBlOjQ5MTIzMA==,Carrot Cake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MTIzMA==,Top level usage
aW5ncmVkaWVudDoyNDQzOTY=,"dried fruit, apricot",cmVjaXBlSXRlbTozMjk3MzM2,cmVjaXBlOjQ5MjI5Ng==,Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MjI5Ng==,Top level usage
aW5ncmVkaWVudDoyNDQ4NjQ=,"freeze-dried, strawberry",cmVjaXBlSXRlbTozNzI5NTA5,cmVjaXBlOjMwNzYwNw==,PB&J Snack Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjMwNzYwNw==,Top level usage
aW5ncmVkaWVudDoyNDQ4NjQ=,"freeze-dried, strawberry",cmVjaXBlSXRlbToyMTk2NTA5,cmVjaXBlOjE3NjE1Mw==,Chocolate Chip Cookie Dough Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3NjE1Mw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMTU4MzY4,cmVjaXBlOjE3ODk0Mw==,Green Pea Chutney BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODk0Mw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMTc1MjU4,cmVjaXBlOjE4MjIzOQ==,Crunchy Citrus & Cabbage Salad with Green Peas AF,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MjIzOQ==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMjQ3MTAz,cmVjaXBlOjE5NDk2Nw==,"Vegetable Mix - Green Beans, Peas & Red Bell Pepper",https://app.galleysolutions.com/recipes/cmVjaXBlOjE5NDk2Nw==,Sparse recipe
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxNDQwOTE1,cmVjaXBlOjIzMDM2MA==,SCH LOT 22122 Component,https://app.galleysolutions.com/recipes/cmVjaXBlOjIzMDM2MA==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxODQ5NzQ2,cmVjaXBlOjI4NzM0Nw==,Sweet Peas,https://app.galleysolutions.com/recipes/cmVjaXBlOjI4NzM0Nw==,Sparse recipe
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxODY3MjQ5,cmVjaXBlOjI4OTkzNg==,Paella Rice (IQF),https://app.galleysolutions.com/recipes/cmVjaXBlOjI4OTkzNg==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToyMDc2MTE5,cmVjaXBlOjMxNzc0Ng==,ALLERGY Kimchi 'Fried' Rice with Green Peas,https://app.galleysolutions.com/recipes/cmVjaXBlOjMxNzc0Ng==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMTk0MzI0,cmVjaXBlOjE4NTQ1NQ==,Shredded Broccoli & Frozen Peas,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4NTQ1NQ==,Sparse recipe
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMzMwMjg5,cmVjaXBlOjE4ODk5NA==,New Potato Salad BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4ODk5NA==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbTozMjQxMTgy,cmVjaXBlOjQ4NTM1Nw==,WC SCH Lot 23219,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ4NTM1Nw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbTozNzA5NzE5,cmVjaXBlOjUyODA3Nw==,Tex-Mex Chili Rice Bowl BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjUyODA3Nw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMjAwOTE3,cmVjaXBlOjE4NzI2Ng==,Roasted Artichoke Scampi BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4NzI2Ng==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToxMjEyNjM3,cmVjaXBlOjE4OTI4Mg==,Lemon Green Peas,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4OTI4Mg==,Sparse recipe
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbToyMDA3MjA4,cmVjaXBlOjMxMTE5Mw==,Saffron & Mushroom Risotto BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjMxMTE5Mw==,Top level usage
aW5ncmVkaWVudDoyNDQ0NTE=,"frozen, peas",cmVjaXBlSXRlbTo0Nzg0OTQw,cmVjaXBlOjY5MDg4OQ==,Mushroom & Leek Pasta Bowl BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjY5MDg4OQ==,Top level usage
aW5ncmVkaWVudDoyNDUzODI=,"grapes, red, destemmed PF, SEND TO PLATE",cmVjaXBlSXRlbToyOTY0MjY2,cmVjaXBlOjQ0MDA4MQ==,"Fig & ""Goat Cheese"" Snack Plate",https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MDA4MQ==,Top level usage
aW5ncmVkaWVudDoyNDUzODI=,"grapes, red, destemmed PF, SEND TO PLATE",cmVjaXBlSXRlbToxMjI1NTQ0,cmVjaXBlOjE5MTE2Mg==,Waldorf Salad BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE5MTE2Mg==,Top level usage
aW5ncmVkaWVudDoyNDUzODI=,"grapes, red, destemmed PF, SEND TO PLATE",cmVjaXBlSXRlbTozMjc3NzMx,cmVjaXBlOjQ5MDY0Nw==,Waldorf Salad BASE HOLIDAY,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MDY0Nw==,Top level usage
aW5ncmVkaWVudDoyNDUzODI=,"grapes, red, destemmed PF, SEND TO PLATE",cmVjaXBlSXRlbToxMjEyNjkw,cmVjaXBlOjE4OTI5MQ==,Crimson Grape & Curried Quinoa Salad BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4OTI5MQ==,Top level usage
aW5ncmVkaWVudDoyNDUzODI=,"grapes, red, destemmed PF, SEND TO PLATE",cmVjaXBlSXRlbTo0MDg4OTAz,cmVjaXBlOjU4NzUwOQ==,4/29 TMP Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjU4NzUwOQ==,Top level usage
aW5ncmVkaWVudDoyNDUyOTQ=,"plantain, chips",cmVjaXBlSXRlbTozNzI5NjMy,cmVjaXBlOjU0MTYzMA==,Chocolate Chip Cookie Dough Dip copy,https://app.galleysolutions.com/recipes/cmVjaXBlOjU0MTYzMA==,Top level usage
aW5ncmVkaWVudDoyNDUyOTQ=,"plantain, chips",cmVjaXBlSXRlbToxMTg2MjI4,cmVjaXBlOjE4Mzk4OQ==,Black Bean & Cheese Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4Mzk4OQ==,Top level usage
aW5ncmVkaWVudDoyNDUyOTQ=,"plantain, chips",cmVjaXBlSXRlbToyMjg1MjE4,cmVjaXBlOjMwNzYwNw==,PB&J Snack Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjMwNzYwNw==,Top level usage
aW5ncmVkaWVudDoyNDUyOTQ=,"plantain, chips",cmVjaXBlSXRlbToyMjg1MjIz,cmVjaXBlOjE3NjE1Mw==,Chocolate Chip Cookie Dough Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3NjE1Mw==,Top level usage
aW5ncmVkaWVudDoyNDUyOTQ=,"plantain, chips",cmVjaXBlSXRlbToyMjg1MjI2,cmVjaXBlOjI3NDU3NA==,Crushed Banana Coating,https://app.galleysolutions.com/recipes/cmVjaXBlOjI3NDU3NA==,Single ingredient recipe
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTozNzI5NjM0,cmVjaXBlOjU0MTYzMA==,Chocolate Chip Cookie Dough Dip copy,https://app.galleysolutions.com/recipes/cmVjaXBlOjU0MTYzMA==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbToxMTQ4NTE3,cmVjaXBlOjE3NjE1Mw==,Chocolate Chip Cookie Dough Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3NjE1Mw==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbToxOTgyOTE0,cmVjaXBlOjMwNzYwNw==,PB&J Snack Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjMwNzYwNw==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbToyOTE0NDky,cmVjaXBlOjQ0MzA0MA==,Pecan Pie Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ0MzA0MA==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTozMjgyNTQ3,cmVjaXBlOjQ5MTIzMA==,Carrot Cake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MTIzMA==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTozNzkxMzMx,cmVjaXBlOjU0OTY5Mg==,TMP Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjU0OTY5Mg==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTozMjkwNDIz,cmVjaXBlOjQ5MjI5Ng==,Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MjI5Ng==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTozODQyMDg2,cmVjaXBlOjU1NjMyOQ==,TMP Carrot Cake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjU1NjMyOQ==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTo0MDg4OTAx,cmVjaXBlOjU4NzUwOQ==,4/29 TMP Blueberry Cheesecake Dip,https://app.galleysolutions.com/recipes/cmVjaXBlOjU4NzUwOQ==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTo0MjQwNzc5,cmVjaXBlOjYxMDE5MA==,Blueberry Cheesecake Dip copy,https://app.galleysolutions.com/recipes/cmVjaXBlOjYxMDE5MA==,Top level usage
aW5ncmVkaWVudDoyNDU2ODM=,"pretzels, sea salt FIT JOY",cmVjaXBlSXRlbTo0ODkyNjY3,cmVjaXBlOjcwNjc2MA==,TMP Cashew Pub Cheese Plate with Almonds & Tomatoes,https://app.galleysolutions.com/recipes/cmVjaXBlOjcwNjc2MA==,Top level usage
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbToxMTU1Mjg5,cmVjaXBlOjE3ODAwNQ==,Dolma Snack Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODAwNQ==,Top level usage
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbToxMTc0NDky,cmVjaXBlOjE4MjExNA==,Roasted Sliced Red Onion with Zahtar,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MjExNA==,Sparse recipe
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbToxMTc0NDk4,cmVjaXBlOjE4MjExNg==,Roasted White Sweet Potatoes with Zahtar,https://app.galleysolutions.com/recipes/cmVjaXBlOjE4MjExNg==,Sparse recipe
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbToxMjE4NTY2,cmVjaXBlOjE5MDIzOA==,Za'atar Hummus & Veggie Plate,https://app.galleysolutions.com/recipes/cmVjaXBlOjE5MDIzOA==,Top level usage
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbTozMjc3NTY1,cmVjaXBlOjQ5MDYyNQ==,Zahtar French Green Lentils (IQF),https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5MDYyNQ==,Sparse recipe
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbToxMTM4MzY2,cmVjaXBlOjE3NDQwMw==,Creamy Za'atar Sunflower Dressing BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3NDQwMw==,Top level usage
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbTozNjAxODcz,cmVjaXBlOjUyNjgyMQ==,Zahtar Black Lentils (IQF),https://app.galleysolutions.com/recipes/cmVjaXBlOjUyNjgyMQ==,Sparse recipe
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbTozOTcxMjQw,cmVjaXBlOjU3MjEwMw==,Zahtar Garbanzo Beans (IQF),https://app.galleysolutions.com/recipes/cmVjaXBlOjU3MjEwMw==,Sparse recipe
aW5ncmVkaWVudDoyNDU1NTA=,"spices, zahtar",cmVjaXBlSXRlbTo0MjM3MDE1,cmVjaXBlOjYwOTYzMA==,Roasted Sliced Yellow Onion with Zahtar,https://app.galleysolutions.com/recipes/cmVjaXBlOjYwOTYzMA==,Sparse recipe
aW5ncmVkaWVudDoyNDUyMTA=,"tortilla, chips, corn",cmVjaXBlSXRlbToxMzkwMTMz,cmVjaXBlOjIyMTE3NQ==,Tropical Chilaquiles Verde with Piña Salsa,https://app.galleysolutions.com/recipes/cmVjaXBlOjIyMTE3NQ==,Top level usage
aW5ncmVkaWVudDoyNDUxODU=,"tortilla, corn, 4""",cmVjaXBlSXRlbToxMTU1NTUz,cmVjaXBlOjE3ODA1Mg==,Korean BBQ Taco Kit BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODA1Mg==,Top level usage
aW5ncmVkaWVudDoyNDUxODU=,"tortilla, corn, 4""",cmVjaXBlSXRlbToxMTY0MTY5,cmVjaXBlOjE3OTkyMA==,Chayote Taco Kit BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjE3OTkyMA==,Top level usage
aW5ncmVkaWVudDoyNDUxODU=,"tortilla, corn, 4""",cmVjaXBlSXRlbToyOTA2OTg3,cmVjaXBlOjQzOTEzNw==,Butternut & Black Bean Tacos BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjQzOTEzNw==,Top level usage
aW5ncmVkaWVudDoyNDUxODU=,"tortilla, corn, 4""",cmVjaXBlSXRlbTozMzM4MDM4,cmVjaXBlOjQ5ODY5Ng==,Lentil Chorizo and Sweet Potato Taco Kit BASE,https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5ODY5Ng==,Top level usage
